x (m),y (m),z (m)
107.75,-14.144985,3.8413486
107.75,-14.593983,4.2616186
107.75,0,4.1440001
107.75,0,3.543
107.75,0,2.9419999
107.75,0,2.3410001
107.75,-14.2375,4.7449999
107.75,-13.58,4.7449999
107.75,-12.9225,4.7449999
107.75,-1.9400001,4.7449999
107.75,-1.2825,4.7449999
107.75,-6.4775,4.7449999
107.75,-5.1624999,4.7449999
107.75,-10.489,4.7449999
107.75,-9.9630003,4.7449999
107.75,-9.4370003,4.7449999
107.75,-8.9110003,4.7449999
107.75,-8.3850002,4.7449999
107.75,-4.5050001,4.7449999
107.75,-3.8800001,4.7449999
107.75,-0.625,4.7449999
107.75,-13.221604,3.9937501
107.75,-12.277205,3.9937501
107.75,-11.332804,3.9937501
107.75,-10.388404,3.9937501
107.75,-9.4440031,3.9937501
107.75,-8.4996033,3.9937501
107.75,-7.5552025,3.9937501
107.75,-6.6108022,3.9937501
107.75,-5.6664019,3.9937501
107.75,-4.7220016,3.9937501
107.75,-3.7776012,3.9937501
107.75,-2.8332009,3.9937501
107.75,-1.8888006,3.9937501
107.75,-0.94440031,3.9937501
107.75,-13.221604,3.2425001
107.75,-12.277205,3.2425001
107.75,-11.332804,3.2425001
107.75,-10.388404,3.2425001
107.75,-9.4440031,3.2425001
107.75,-8.4996033,3.2425001
107.75,-7.5552025,3.2425001
107.75,-6.6108022,3.2425001
107.75,-5.6664019,3.2425001
107.75,-4.7220016,3.2425001
107.75,-3.7776012,3.2425001
107.75,-2.8332009,3.2425001
107.75,-1.8888006,3.2425001
107.75,-0.94440031,3.2425001
107.75,-12.277205,2.49125
107.75,-11.332804,2.49125
107.75,-10.388404,2.49125
107.75,-9.4440031,2.49125
107.75,-8.4996033,2.49125
107.75,-7.5552025,2.49125
107.75,-6.6108022,2.49125
107.75,-5.6664019,2.49125
107.75,-4.7220016,2.49125
107.75,-3.7776012,2.49125
107.75,-2.8332009,2.49125
107.75,-1.8888006,2.49125
107.75,-0.94440031,2.49125
107.75,12.797994,2.5805395
107.75,14.144985,3.8413486
107.75,1.9400001,4.7449999
107.75,1.2825,4.7449999
107.75,6.4775,4.7449999
107.75,5.8200002,4.7449999
107.75,5.1624999,4.7449999
107.75,14.2375,4.7449999
107.75,13.58,4.7449999
107.75,9.9630003,4.7449999
107.75,9.4370003,4.7449999
107.75,8.9110003,4.7449999
107.75,4.5050001,4.7449999
107.75,3.8800001,4.7449999
107.75,13.221604,3.9937501
107.75,12.277205,3.9937501
107.75,11.332804,3.9937501
107.75,10.388404,3.9937501
107.75,9.4440031,3.9937501
107.75,8.4996033,3.9937501
107.75,7.5552025,3.9937501
107.75,6.6108022,3.9937501
107.75,5.6664019,3.9937501
107.75,4.7220016,3.9937501
107.75,3.7776012,3.9937501
107.75,2.8332009,3.9937501
107.75,1.8888006,3.9937501
107.75,0.94440031,3.9937501
107.75,13.221604,3.2425001
107.75,12.277205,3.2425001
107.75,11.332804,3.2425001
107.75,10.388404,3.2425001
107.75,9.4440031,3.2425001
107.75,8.4996033,3.2425001
107.75,7.5552025,3.2425001
107.75,6.6108022,3.2425001
107.75,5.6664019,3.2425001
107.75,4.7220016,3.2425001
107.75,3.7776012,3.2425001
107.75,2.8332009,3.2425001
107.75,1.8888006,3.2425001
107.75,0.94440031,3.2425001
107.75,12.277205,2.49125
107.75,11.332804,2.49125
107.75,10.388404,2.49125
107.75,9.4440031,2.49125
107.75,8.4996033,2.49125
107.75,7.5552025,2.49125
107.75,6.6108022,2.49125
107.75,5.6664019,2.49125
107.75,4.7220016,2.49125
107.75,3.7776012,2.49125
107.75,2.8332009,2.49125
107.75,1.8888006,2.49125
107.75,0.94440031,2.49125
108.95,-13.58,4.7449999
108.15,-14.665,4.7449999
108.95,-14.205,4.7449999
108.15,-12.495,4.7449999
107.75,-14.895,4.7449999
107.75,-2.5975001,4.7449999
108.95,-1.9400001,4.7449999
108.95,-1.3150001,4.7449999
107.75,-3.2550001,4.7449999
107.75,-5.8200002,4.7449999
108.15,-6.9050002,4.7449999
108.15,-4.7350001,4.7449999
108.15,-10.785,4.7449999
108.15,-8.6149998,4.7449999
107.75,-11.015,4.7449999
107.75,2.5975001,4.7449999
108.95,1.9400001,4.7449999
108.15,3.0250001,4.7449999
108.15,0.85500002,4.7449999
107.75,0.625,4.7449999
108.15,6.9050002,4.7449999
108.55,4.9650002,4.7449999
107.75,12.9225,4.7449999
108.95,13.58,4.7449999
108.15,14.665,4.7449999
107.75,14.895,4.7449999
107.75,10.489,4.7449999
108.95,9.6999998,4.7449999
108.55,10.555,4.7449999
108.95,10.325,4.7449999
108.95,9.0749998,4.7449999
108.15,8.6149998,4.7449999
107.75,11.015,4.7449999
107.75,8.3850002,4.7449999
