x (m),y (m),z (m)
107.75,-15.110405,4.7449999
83.269997,-15.110405,4.7449999
82.769997,-15.110405,4.7449999
107.04249,-14.593983,4.2616186
104.91996,-14.593983,4.2616186
102.79743,-14.593983,4.2616186
100.6749,-14.593983,4.2616186
99.25988,-14.593983,4.2616186
98.552376,-14.593983,4.2616186
97.844864,-14.593983,4.2616186
97.137352,-14.593983,4.2616186
95.014824,-14.593983,4.2616186
94.307312,-14.593983,4.2616186
91.477272,-14.593983,4.2616186
88.64724,-14.593983,4.2616186
87.939728,-14.593983,4.2616186
85.109688,-14.593983,4.2616186
106.77,-15.102654,4.7377458
105.79,-15.102654,4.7377458
104.81,-15.102654,4.7377458
103.83,-15.102654,4.7377458
102.85,-15.102654,4.7377458
101.87,-15.102654,4.7377458
100.89,-15.102654,4.7377458
99.910004,-15.102654,4.7377458
98.93,-15.102654,4.7377458
97.949997,-15.102654,4.7377458
96.970001,-15.102654,4.7377458
95.989998,-15.102654,4.7377458
95.010002,-15.102654,4.7377458
94.029999,-15.102654,4.7377458
93.050003,-15.102654,4.7377458
92.07,-15.102654,4.7377458
91.089996,-15.102654,4.7377458
90.110001,-15.102654,4.7377458
89.129997,-15.102654,4.7377458
88.150002,-15.102654,4.7377458
87.169998,-15.102654,4.7377458
86.190002,-15.102654,4.7377458
85.209999,-15.102654,4.7377458
84.230003,-15.102654,4.7377458
106.77,-15.611327,5.2138729
105.79,-15.611327,5.2138729
104.81,-15.611327,5.2138729
103.83,-15.611327,5.2138729
102.85,-15.611327,5.2138729
101.87,-15.611327,5.2138729
100.89,-15.611327,5.2138729
99.910004,-15.611327,5.2138729
98.93,-15.611327,5.2138729
97.949997,-15.611327,5.2138729
96.970001,-15.611327,5.2138729
95.989998,-15.611327,5.2138729
95.010002,-15.611327,5.2138729
94.029999,-15.611327,5.2138729
93.050003,-15.611327,5.2138729
92.07,-15.611327,5.2138729
91.089996,-15.611327,5.2138729
90.110001,-15.611327,5.2138729
