x (m),y (m),z (m)
82.769997,-13.0125,4.7449999
83.269997,-12.74,4.7449999
83.269997,-12.145,4.7449999
83.269997,-11.55,4.7449999
83.269997,-10.955,4.7449999
82.269997,-2.28,4.7449999
82.269997,-1.1900001,4.7449999
83.269997,-1.735,4.7449999
83.269997,-1.14,4.7449999
82.769997,-6.0725002,4.7449999
83.269997,-5.8000002,4.7449999
83.269997,-4.0149999,4.7449999
82.769997,2.6025,4.7449999
82.769997,0.86750001,4.7449999
83.269997,1.735,4.7449999
83.269997,1.14,4.7449999
82.769997,13.0125,4.7449999
82.769997,11.2775,4.7449999
82.269997,11.6,4.7449999
82.269997,9.2200003,4.7449999
82.769997,7.8074999,4.7449999
83.269997,9.2700005,4.7449999
83.269997,8.0799999,4.7449999
82.769997,6.0725002,4.7449999
82.269997,4.6599998,4.7449999
83.269997,5.8000002,4.7449999
83.269997,-9.2700005,4.7449999
83.269997,-8.6750002,4.7449999
83.269997,-7.4850001,4.7449999
83.48233,-14.852194,4.5033092
83.694672,-14.593983,4.2616186
83.971588,-14.257235,3.9464161
85.079254,-12.910243,2.685607
85.356171,-12.573496,2.3704047
83.269997,-13.335,4.7449999
83.269997,-0.54500002,4.7449999
83.269997,-2.3299999,4.7449999
83.269997,-4.6100001,4.7449999
83.269997,-5.2049999,4.7449999
83.269997,-8.0799999,4.7449999
85.25,-12.277205,2.49125
85.25,-11.332804,2.49125
85.25,-10.388404,2.49125
85.25,-9.4440031,2.49125
85.25,-8.4996033,2.49125
85.25,-7.5552025,2.49125
85.25,-6.6108022,2.49125
85.25,-5.6664019,2.49125
85.25,-4.7220016,2.49125
85.25,-3.7776012,2.49125
85.25,-2.8332009,2.49125
85.25,-1.8888006,2.49125
85.25,-0.94440031,2.49125
84.589996,-13.221604,3.2425001
84.589996,-12.277205,3.2425001
84.589996,-11.332804,3.2425001
84.589996,-10.388404,3.2425001
84.589996,-9.4440031,3.2425001
84.589996,-8.4996033,3.2425001
84.589996,-7.5552025,3.2425001
84.589996,-6.6108022,3.2425001
84.589996,-5.6664019,3.2425001
84.589996,-4.7220016,3.2425001
84.589996,-3.7776012,3.2425001
84.589996,-2.8332009,3.2425001
84.589996,-1.8888006,3.2425001
84.589996,-0.94440031,3.2425001
83.93,-13.221604,3.9937501
83.93,-12.277205,3.9937501
83.93,-11.332804,3.9937501
83.93,-10.388404,3.9937501
83.93,-9.4440031,3.9937501
83.93,-8.4996033,3.9937501
83.93,-7.5552025,3.9937501
83.93,-6.6108022,3.9937501
83.93,-5.6664019,3.9937501
83.93,-4.7220016,3.9937501
83.93,-3.7776012,3.9937501
83.93,-2.8332009,3.9937501
83.93,-1.8888006,3.9937501
83.93,-0.94440031,3.9937501
83.269997,-14.166005,4.7449999
83.269997,-10.388404,4.7449999
83.269997,-3.7776012,4.7449999
83.971588,14.257235,3.9464161
85.356171,12.573496,2.3704047
83.269997,0.54500002,4.7449999
83.269997,2.3299999,4.7449999
83.269997,10.955,4.7449999
83.269997,11.55,4.7449999
83.269997,12.145,4.7449999
83.269997,12.74,4.7449999
83.269997,8.6750002,4.7449999
83.269997,9.8649998,4.7449999
83.269997,4.0149999,4.7449999
83.269997,4.6100001,4.7449999
83.269997,5.2049999,4.7449999
85.470001,0,2.2408333
85.029999,0,2.7416666
84.150002,0,3.7433333
83.709999,0,4.2441669
85.25,12.277205,2.49125
85.25,11.332804,2.49125
85.25,10.388404,2.49125
85.25,9.4440031,2.49125
85.25,8.4996033,2.49125
85.25,7.5552025,2.49125
85.25,6.6108022,2.49125
85.25,5.6664019,2.49125
85.25,4.7220016,2.49125
85.25,3.7776012,2.49125
85.25,2.8332009,2.49125
85.25,1.8888006,2.49125
85.25,0.94440031,2.49125
84.589996,13.221604,3.2425001
84.589996,12.277205,3.2425001
84.589996,11.332804,3.2425001
84.589996,10.388404,3.2425001
84.589996,9.4440031,3.2425001
84.589996,8.4996033,3.2425001
84.589996,7.5552025,3.2425001
84.589996,6.6108022,3.2425001
84.589996,5.6664019,3.2425001
84.589996,4.7220016,3.2425001
84.589996,3.7776012,3.2425001
84.589996,2.8332009,3.2425001
84.589996,1.8888006,3.2425001
84.589996,0.94440031,3.2425001
84.589996,0,3.2425001
83.93,13.221604,3.9937501
83.93,12.277205,3.9937501
83.93,11.332804,3.9937501
83.93,10.388404,3.9937501
83.93,9.4440031,3.9937501
83.93,8.4996033,3.9937501
83.93,7.5552025,3.9937501
83.93,6.6108022,3.9937501
83.93,5.6664019,3.9937501
83.93,4.7220016,3.9937501
83.93,3.7776012,3.9937501
83.93,2.8332009,3.9937501
83.93,1.8888006,3.9937501
83.93,0.94440031,3.9937501
83.269997,15.110405,4.7449999
83.269997,14.166005,4.7449999
83.269997,10.388404,4.7449999
83.269997,3.7776012,4.7449999
82.269997,-15.07,4.7449999
82.769997,14.7475,4.7449999
82.269997,15.07,4.7449999
82.269997,15.110405,4.7449999
