x (m),y (m),z (m)
83.75222,-9.8924866,18.828323
83.75222,-9.4799891,19.068655
84.2463,-9.8924866,18.828323
83.269997,-10.033313,18.746273
107.75,-8.9316559,19.38813
107.75,-9.4824839,19.067202
108.21629,-10.304983,18.587992
107.48257,-10.304983,18.587992
106.01514,-10.304983,18.587992
105.28143,-10.304983,18.587992
104.54771,-10.304983,18.587992
103.08028,-10.304983,18.587992
102.34657,-10.304983,18.587992
101.61285,-10.304983,18.587992
97.210571,-10.304983,18.587992
95.743141,-10.304983,18.587992
95.00943,-10.304983,18.587992
92.808289,-10.304983,18.587992
90.60714,-10.304983,18.587992
87.672287,-10.304983,18.587992
86.938568,-10.304983,18.587992
84.737427,-10.304983,18.587992
84.003716,-10.304983,18.587992
85.43,-7.8299999,20.029985
86.150002,-7.8299999,20.029985
86.870003,-7.8299999,20.029985
88.309998,-7.8299999,20.029985
89.029999,-7.8299999,20.029985
89.75,-7.8299999,20.029985
90.470001,-7.8299999,20.029985
91.910004,-7.8299999,20.029985
93.349998,-7.8299999,20.029985
94.07,-7.8299999,20.029985
94.790001,-7.8299999,20.029985
95.510002,-7.8299999,20.029985
96.230003,-7.8299999,20.029985
96.949997,-7.8299999,20.029985
97.669998,-7.8299999,20.029985
99.830002,-7.8299999,20.029985
102.71,-7.8299999,20.029985
103.43,-7.8299999,20.029985
104.87,-7.8299999,20.029985
105.59,-7.8299999,20.029985
106.31,-7.8299999,20.029985
106.9737,-9.4799891,19.068655
105.98556,-9.4799891,19.068655
104.99741,-9.4799891,19.068655
104.00926,-9.4799891,19.068655
103.02111,-9.4799891,19.068655
102.03297,-9.4799891,19.068655
101.04482,-9.4799891,19.068655
100.05666,-9.4799891,19.068655
99.06852,-9.4799891,19.068655
98.080368,-9.4799891,19.068655
97.092224,-9.4799891,19.068655
96.104073,-9.4799891,19.068655
95.115929,-9.4799891,19.068655
94.127777,-9.4799891,19.068655
93.139633,-9.4799891,19.068655
92.151482,-9.4799891,19.068655
91.16333,-9.4799891,19.068655
90.175186,-9.4799891,19.068655
89.187035,-9.4799891,19.068655
88.198891,-9.4799891,19.068655
87.210739,-9.4799891,19.068655
86.222595,-9.4799891,19.068655
85.234444,-9.4799891,19.068655
84.2463,-9.4799891,19.068655
106.9737,-8.654994,19.54932
105.98556,-8.654994,19.54932
104.99741,-8.654994,19.54932
104.00926,-8.654994,19.54932
103.02111,-8.654994,19.54932
102.03297,-8.654994,19.54932
101.04482,-8.654994,19.54932
100.05666,-8.654994,19.54932
99.06852,-8.654994,19.54932
98.080368,-8.654994,19.54932
97.092224,-8.654994,19.54932
96.104073,-8.654994,19.54932
95.115929,-8.654994,19.54932
94.127777,-8.654994,19.54932
93.139633,-8.654994,19.54932
92.151482,-8.654994,19.54932
91.16333,-8.654994,19.54932
90.175186,-8.654994,19.54932
89.187035,-8.654994,19.54932
88.198891,-8.654994,19.54932
87.210739,-8.654994,19.54932
86.222595,-8.654994,19.54932
85.234444,-8.654994,19.54932
84.2463,-8.654994,19.54932
83.75222,-13.594831,16.671234
84.2463,-13.594831,16.671234
83.75222,-13.955569,16.461058
107.75,-15.5075,15.55686
107.75,-14.895,15.913719
82.769997,-14.7475,15.999657
83.113556,-13.234093,16.881411
85.32811,-13.234093,16.881411
86.066292,-13.234093,16.881411
93.448135,-13.234093,16.881411
94.9245,-13.234093,16.881411
95.662682,-13.234093,16.881411
98.615425,-13.234093,16.881411
99.353607,-13.234093,16.881411
100.09179,-13.234093,16.881411
100.82997,-13.234093,16.881411
102.30634,-13.234093,16.881411
103.04453,-13.234093,16.881411
104.5209,-13.234093,16.881411
