x (m),y (m),z (m)
87.73,16.12,20.2
87.73,16.12,18.805983
87.73,16.12,17.411966
87.73,16.12,16.017949
87.73,16.12,14.623932
87.73,16.12,13.229915
87.73,16.12,11.835898
87.73,16.12,10.441881
87.73,16.12,9.047864
87.73,16.12,7.653847
87.73,16.12,6.25983
87.73,16.12,4.865813
87.73,16.12,3.471796
87.73,16.12,2.0777791
87.73,15.784843,0.75394307
87.73,14.63554,0.027872807
87.73,13.243161,-4.03364E-16
87.73,11.849144,-3.31211E-16
87.73,10.455127,-2.59059E-16
87.73,9.0611105,-1.86906E-16
87.73,7.6670935,-1.14754E-16
87.73,6.2730765,-4.26013E-17
87.73,4.8790595,2.95511E-17
87.73,3.4850425,1.01704E-16
87.73,2.0910255,1.73856E-16
87.73,0.6970085,1.3342E-16
87.73,-0.6970085,0
87.73,-2.0910255,0
87.73,-3.4850425,0
87.73,-4.8790595,0
87.73,-6.2730765,0
87.73,-7.6670935,0
87.73,-9.0611105,0
87.73,-10.455127,0
87.73,-11.849144,0
87.73,-13.243161,0
87.73,-14.63554,0.027872806
87.73,-15.784843,0.75394306
87.73,-16.12,2.0777791
87.73,-16.12,3.471796
87.73,-16.12,4.865813
87.73,-16.12,6.25983
87.73,-16.12,7.653847
87.73,-16.12,9.047864
87.73,-16.12,10.441881
87.73,-16.12,11.835898
87.73,-16.12,13.229915
87.73,-16.12,14.623932
87.73,-16.12,16.017949
87.73,-16.12,17.411966
87.73,-16.12,18.805983
87.73,-16.12,20.2
88.64,16.12,20.2
88.64,16.12,18.805983
88.64,16.12,17.411966
88.64,16.12,16.017949
88.64,16.12,14.623932
88.64,16.12,13.229915
88.64,16.12,11.835898
88.64,16.12,10.441881
88.64,16.12,9.047864
88.64,16.12,7.653847
88.64,16.12,6.25983
88.64,16.12,4.865813
88.64,16.12,3.471796
88.64,16.12,2.0777791
88.64,15.784843,0.75394307
88.64,14.63554,0.027872807
88.64,13.243161,0
88.64,11.849144,0
88.64,10.455127,0
88.64,9.0611105,0
88.64,7.6670935,0
88.64,6.2730765,0
88.64,4.8790595,0
88.64,3.4850425,0
88.64,2.0910255,0
88.64,0.6970085,0
88.64,-0.6970085,0
88.64,-2.0910255,0
88.64,-3.4850425,0
88.64,-4.8790595,0
88.64,-6.2730765,0
88.64,-7.6670935,0
88.64,-9.0611105,0
88.64,-10.455127,0
88.64,-11.849144,0
88.64,-13.243161,0
88.64,-14.63554,0.027872806
88.64,-15.784843,0.75394306
88.64,-16.12,2.0777791
88.64,-16.12,3.471796
88.64,-16.12,4.865813
88.64,-16.12,6.25983
88.64,-16.12,7.653847
88.64,-16.12,9.047864
88.64,-16.12,10.441881
88.64,-16.12,11.835898
88.64,-16.12,13.229915
88.64,-16.12,14.623932
88.64,-16.12,16.017949
88.64,-16.12,17.411966
88.64,-16.12,18.805983
88.64,-16.12,20.2
89.55,16.12,20.2
89.55,16.12,18.805983
89.55,16.12,17.411966
89.55,16.12,16.017949
89.55,16.12,14.623932
89.55,16.12,13.229915
89.55,16.12,11.835898
89.55,16.12,10.441881
89.55,16.12,9.047864
89.55,16.12,7.653847
89.55,16.12,6.25983
89.55,16.12,4.865813
89.55,16.12,3.471796
89.55,16.12,2.0777791
89.55,15.784843,0.75394307
89.55,14.63554,0.027872807
89.55,13.243161,0
89.55,11.849144,0
89.55,10.455127,0
89.55,9.0611105,0
89.55,7.6670935,0
89.55,6.2730765,0
89.55,4.8790595,0
89.55,3.4850425,0
89.55,2.0910255,0
89.55,0.6970085,0
89.55,-0.6970085,0
89.55,-2.0910255,0
89.55,-3.4850425,0
89.55,-4.8790595,0
89.55,-6.2730765,0
89.55,-7.6670935,0
89.55,-9.0611105,0
89.55,-10.455127,0
89.55,-11.849144,0
89.55,-13.243161,0
89.55,-14.63554,0.027872806
89.55,-15.784843,0.75394306
89.55,-16.12,2.0777791
